,TransactionID,ClientID,BirthYear,Amount,Profession,Risk,BDM,HR,Hairdresser,Manager,Student,barmen,developer,professor,researcher,sailer,High,Low,Medium
0,1,34982,2013.0,12900,Student,Low,0,0,0,0,1,0,0,0,0,0,0,1,0
2,3,34984,1945.0,3450,Student,Medium,0,0,0,0,1,0,0,0,0,0,0,0,1
3,4,34985,1923.0,5670,Manager,Low,0,0,0,1,0,0,0,0,0,0,0,1,0
4,5,34986,1978.0,7890,HR,High,0,1,0,0,0,0,0,0,0,0,1,0,0
5,6,34987,1967.0,10110,Manager,Medium,0,0,0,1,0,0,0,0,0,0,0,0,1
6,15,34987,1967.0,30090,Manager,Low,0,0,0,1,0,0,0,0,0,0,0,1,0
7,22,34987,1967.0,18990,sailer,High,0,0,0,0,0,0,0,0,0,1,1,0,0
8,7,34988,1999.0,12330,Manager,Medium,0,0,0,1,0,0,0,0,0,0,0,0,1
9,23,34988,1999.0,25650,Manager,Low,0,0,0,1,0,0,0,0,0,0,0,1,0
10,8,34989,1958.0,14550,HR,High,0,1,0,0,0,0,0,0,0,0,1,0,0
11,24,34989,1967.0,27870,HR,Medium,0,1,0,0,0,0,0,0,0,0,0,0,1
12,9,34990,1953.28571428571,16770,Manager,Medium,0,0,0,1,0,0,0,0,0,0,0,0,1
13,10,34991,1988.0,18990,BDM,Low,1,0,0,0,0,0,0,0,0,0,0,1,0
14,30,34991,1988.0,55250,BDM,High,1,0,0,0,0,0,0,0,0,0,1,0,0
15,11,34992,1943.85714285714,21210,researcher,Medium,0,0,0,0,0,0,0,0,1,0,0,0,1
16,12,34993,1939.14285714286,23430,professor,Low,0,0,0,0,0,0,0,1,0,0,0,1,0
18,14,34995,1999.0,27870,Hairdresser,Low,0,0,1,0,0,0,0,0,0,0,0,1,0
19,16,34997,1923.0,2399090,developer,High,0,0,0,0,0,0,1,0,0,0,1,0,0
20,17,34998,1978.0,7890,Student,Medium,0,0,0,0,1,0,0,0,0,0,0,0,1
21,18,34999,1988.0,10110,Student,Low,0,0,0,0,1,0,0,0,0,0,0,1,0
22,19,35000,1948.57142857143,12330,barmen,High,0,0,0,0,0,1,0,0,0,0,1,0,0
23,20,35001,1943.85714285714,14550,Student,Medium,0,0,0,0,1,0,0,0,0,0,0,0,1
24,21,35002,1939.14285714286,16770,Manager,Low,0,0,0,1,0,0,0,0,0,0,0,1,0
25,25,35006,1923.0,33050,HR,High,0,1,0,0,0,0,0,0,0,0,1,0,0
26,26,35007,1999.0,37490,Student,Medium,0,0,0,0,1,0,0,0,0,0,0,0,1
27,27,35008,1967.0,41930,BDM,Low,1,0,0,0,0,0,0,0,0,0,0,1,0
28,28,35008,1967.0,46370,BDM,High,1,0,0,0,0,0,0,0,0,0,1,0,0
29,29,35008,1976.0,50810,BDM,Medium,1,0,0,0,0,0,0,0,0,0,0,0,1
